once upon a time in a quiet village nestled among
one wish elsa was amazed but she was also wise
wish elsa was amazed but she was also wise she
elsa was amazed but she was also wise she knew
was amazed but she was also wise she knew the
amazed but she was also wise she knew the power
but she was also wise she knew the power of
she was also wise she knew the power of wishes
was also wise she knew the power of wishes could
also wise she knew the power of wishes could be
wise she knew the power of wishes could be dangerous
she knew the power of wishes could be dangerous so
knew the power of wishes could be dangerous so she
the power of wishes could be dangerous so she decided
power of wishes could be dangerous so she decided to
of wishes could be dangerous so she decided to think
wishes could be dangerous so she decided to think carefully
could be dangerous so she decided to think carefully about
be dangerous so she decided to think carefully about her
dangerous so she decided to think carefully about her wish
so she decided to think carefully about her wish back
she decided to think carefully about her wish back in
decided to think carefully about her wish back in the
to think carefully about her wish back in the village
think carefully about her wish back in the village a
carefully about her wish back in the village a problem
about her wish back in the village a problem was
her wish back in the village a problem was brewing
wish back in the village a problem was brewing the
back in the village a problem was brewing the river
in the village a problem was brewing the river that
the village a problem was brewing the river that flowed
village a problem was brewing the river that flowed through
a problem was brewing the river that flowed through the
problem was brewing the river that flowed through the village
was brewing the river that flowed through the village had
brewing the river that flowed through the village had started
the river that flowed through the village had started to
river that flowed through the village had started to dry
that flowed through the village had started to dry up
flowed through the village had started to dry up crops
through the village had started to dry up crops were
the village had started to dry up crops were failing
village had started to dry up crops were failing and
had started to dry up crops were failing and people
started to dry up crops were failing and people were
to dry up crops were failing and people were worried
dry up crops were failing and people were worried they
up crops were failing and people were worried they needed
crops were failing and people were worried they needed water
were failing and people were worried they needed water to
failing and people were worried they needed water to survive
and people were worried they needed water to survive the
people were worried they needed water to survive the village
were worried they needed water to survive the village elders
worried they needed water to survive the village elders tried
they needed water to survive the village elders tried everything
needed water to survive the village elders tried everything but
water to survive the village elders tried everything but nothing
to survive the village elders tried everything but nothing seemed
survive the village elders tried everything but nothing seemed to
the village elders tried everything but nothing seemed to work
village elders tried everything but nothing seemed to work elsa
elders tried everything but nothing seemed to work elsa thought
tried everything but nothing seemed to work elsa thought about
everything but nothing seemed to work elsa thought about the
but nothing seemed to work elsa thought about the villagers
nothing seemed to work elsa thought about the villagers and
seemed to work elsa thought about the villagers and their
to work elsa thought about the villagers and their plight
work elsa thought about the villagers and their plight she
elsa thought about the villagers and their plight she remembered
thought about the villagers and their plight she remembered the
about the villagers and their plight she remembered the magical
the villagers and their plight she remembered the magical garden
villagers and their plight she remembered the magical garden and
and their plight she remembered the magical garden and the
their plight she remembered the magical garden and the wish
plight she remembered the magical garden and the wish she
she remembered the magical garden and the wish she could
remembered the magical garden and the wish she could make
the magical garden and the wish she could make at
magical garden and the wish she could make at the
garden and the wish she could make at the next
and the wish she could make at the next full
the wish she could make at the next full moon
wish she could make at the next full moon elsa
she could make at the next full moon elsa made
could make at the next full moon elsa made her
make at the next full moon elsa made her way
at the next full moon elsa made her way back
the next full moon elsa made her way back to
next full moon elsa made her way back to the
full moon elsa made her way back to the forest
moon elsa made her way back to the forest and
elsa made her way back to the forest and found
made her way back to the forest and found the
her way back to the forest and found the fox
way back to the forest and found the fox waiting
back to the forest and found the fox waiting for
to the forest and found the fox waiting for her
the forest and found the fox waiting for her under
forest and found the fox waiting for her under the
and found the fox waiting for her under the moonlit
found the fox waiting for her under the moonlit sky
the fox waiting for her under the moonlit sky the
fox waiting for her under the moonlit sky the flowers
waiting for her under the moonlit sky the flowers were
for her under the moonlit sky the flowers were in
her under the moonlit sky the flowers were in full
under the moonlit sky the flowers were in full bloom
the moonlit sky the flowers were in full bloom glowing
moonlit sky the flowers were in full bloom glowing softly
sky the flowers were in full bloom glowing softly in
the flowers were in full bloom glowing softly in the
flowers were in full bloom glowing softly in the dark
were in full bloom glowing softly in the dark elsa
in full bloom glowing softly in the dark elsa took
full bloom glowing softly in the dark elsa took a
bloom glowing softly in the dark elsa took a deep
glowing softly in the dark elsa took a deep breath
softly in the dark elsa took a deep breath and
in the dark elsa took a deep breath and wished
the dark elsa took a deep breath and wished for
dark elsa took a deep breath and wished for the
elsa took a deep breath and wished for the river
took a deep breath and wished for the river in
a deep breath and wished for the river in her
deep breath and wished for the river in her village
breath and wished for the river in her village to
and wished for the river in her village to flow
wished for the river in her village to flow again
for the river in her village to flow again full
the river in her village to flow again full of
river in her village to flow again full of life
in her village to flow again full of life and
her village to flow again full of life and water
village to flow again full of life and water for
to flow again full of life and water for the
flow again full of life and water for the crops
again full of life and water for the crops and
full of life and water for the crops and animals
of life and water for the crops and animals her
life and water for the crops and animals her heart
and water for the crops and animals her heart was
water for the crops and animals her heart was pure
for the crops and animals her heart was pure and
the crops and animals her heart was pure and her
crops and animals her heart was pure and her intentions
and animals her heart was pure and her intentions were
animals her heart was pure and her intentions were for
her heart was pure and her intentions were for the
heart was pure and her intentions were for the good
was pure and her intentions were for the good of
pure and her intentions were for the good of all
and her intentions were for the good of all the
her intentions were for the good of all the next
intentions were for the good of all the next morning
were for the good of all the next morning elsa
for the good of all the next morning elsa and
the good of all the next morning elsa and the
good of all the next morning elsa and the fox
of all the next morning elsa and the fox hurried
all the next morning elsa and the fox hurried back
the next morning elsa and the fox hurried back to
next morning elsa and the fox hurried back to the
morning elsa and the fox hurried back to the village
elsa and the fox hurried back to the village to
and the fox hurried back to the village to their
the fox hurried back to the village to their surprise
fox hurried back to the village to their surprise the
hurried back to the village to their surprise the river
back to the village to their surprise the river was
to the village to their surprise the river was flowing
the village to their surprise the river was flowing once
village to their surprise the river was flowing once again
to their surprise the river was flowing once again clear
their surprise the river was flowing once again clear and
surprise the river was flowing once again clear and fresh
the river was flowing once again clear and fresh water
river was flowing once again clear and fresh water was
was flowing once again clear and fresh water was abundant
flowing once again clear and fresh water was abundant crops
once again clear and fresh water was abundant crops began
again clear and fresh water was abundant crops began to
clear and fresh water was abundant crops began to perk
and fresh water was abundant crops began to perk up
fresh water was abundant crops began to perk up and
water was abundant crops began to perk up and the
was abundant crops began to perk up and the villagers
abundant crops began to perk up and the villagers rejoiced
crops began to perk up and the villagers rejoiced they
began to perk up and the villagers rejoiced they celebrated
to perk up and the villagers rejoiced they celebrated their
perk up and the villagers rejoiced they celebrated their good
up and the villagers rejoiced they celebrated their good fortune
and the villagers rejoiced they celebrated their good fortune and
the villagers rejoiced they celebrated their good fortune and praised
villagers rejoiced they celebrated their good fortune and praised elsa
rejoiced they celebrated their good fortune and praised elsa for
they celebrated their good fortune and praised elsa for her
celebrated their good fortune and praised elsa for her mysterious
their good fortune and praised elsa for her mysterious role
good fortune and praised elsa for her mysterious role in
fortune and praised elsa for her mysterious role in saving
and praised elsa for her mysterious role in saving their
praised elsa for her mysterious role in saving their village
elsa for her mysterious role in saving their village from
for her mysterious role in saving their village from then
her mysterious role in saving their village from then on
mysterious role in saving their village from then on elsa
role in saving their village from then on elsa continued
in saving their village from then on elsa continued to
saving their village from then on elsa continued to help
their village from then on elsa continued to help the
village from then on elsa continued to help the villagers
from then on elsa continued to help the villagers with
then on elsa continued to help the villagers with her
on elsa continued to help the villagers with her wisdom
elsa continued to help the villagers with her wisdom and
continued to help the villagers with her wisdom and her
to help the villagers with her wisdom and her unique
help the villagers with her wisdom and her unique ability
the villagers with her wisdom and her unique ability to
villagers with her wisdom and her unique ability to communicate
with her wisdom and her unique ability to communicate with
her wisdom and her unique ability to communicate with animals
wisdom and her unique ability to communicate with animals she
and her unique ability to communicate with animals she lived
her unique ability to communicate with animals she lived a
unique ability to communicate with animals she lived a life
ability to communicate with animals she lived a life full
to communicate with animals she lived a life full of
communicate with animals she lived a life full of adventures
with animals she lived a life full of adventures and
animals she lived a life full of adventures and the
she lived a life full of adventures and the villagers
lived a life full of adventures and the villagers knew
a life full of adventures and the villagers knew they
life full of adventures and the villagers knew they had
full of adventures and the villagers knew they had someone
of adventures and the villagers knew they had someone special
adventures and the villagers knew they had someone special among
and the villagers knew they had someone special among them
the villagers knew they had someone special among them as
villagers knew they had someone special among them as for
knew they had someone special among them as for the
they had someone special among them as for the fox
had someone special among them as for the fox it
someone special among them as for the fox it stayed
special among them as for the fox it stayed by
among them as for the fox it stayed by elsas
them as for the fox it stayed by elsas side
as for the fox it stayed by elsas side loyal
for the fox it stayed by elsas side loyal and
the fox it stayed by elsas side loyal and wise
fox it stayed by elsas side loyal and wise sharing
it stayed by elsas side loyal and wise sharing many
stayed by elsas side loyal and wise sharing many more
by elsas side loyal and wise sharing many more secrets
elsas side loyal and wise sharing many more secrets of
side loyal and wise sharing many more secrets of the
loyal and wise sharing many more secrets of the forest
and wise sharing many more secrets of the forest the
wise sharing many more secrets of the forest the years
sharing many more secrets of the forest the years passed
many more secrets of the forest the years passed and
more secrets of the forest the years passed and elsa
secrets of the forest the years passed and elsa grew
of the forest the years passed and elsa grew to
the forest the years passed and elsa grew to be
forest the years passed and elsa grew to be a
the years passed and elsa grew to be a wise
years passed and elsa grew to be a wise woman
passed and elsa grew to be a wise woman respected
and elsa grew to be a wise woman respected by
elsa grew to be a wise woman respected by all
grew to be a wise woman respected by all she
to be a wise woman respected by all she taught
be a wise woman respected by all she taught the
a wise woman respected by all she taught the children
wise woman respected by all she taught the children of
woman respected by all she taught the children of the
respected by all she taught the children of the village
by all she taught the children of the village about
all she taught the children of the village about the
she taught the children of the village about the importance
taught the children of the village about the importance of
the children of the village about the importance of nature
children of the village about the importance of nature and
of the village about the importance of nature and how
the village about the importance of nature and how to
village about the importance of nature and how to communicate
about the importance of nature and how to communicate and
the importance of nature and how to communicate and live
importance of nature and how to communicate and live harmoniously
of nature and how to communicate and live harmoniously with
nature and how to communicate and live harmoniously with the
and how to communicate and live harmoniously with the forest
how to communicate and live harmoniously with the forest and
to communicate and live harmoniously with the forest and its
communicate and live harmoniously with the forest and its creatures
and live harmoniously with the forest and its creatures the
live harmoniously with the forest and its creatures the magical
harmoniously with the forest and its creatures the magical garden
with the forest and its creatures the magical garden remained
the forest and its creatures the magical garden remained a
forest and its creatures the magical garden remained a secret
and its creatures the magical garden remained a secret between
its creatures the magical garden remained a secret between her
creatures the magical garden remained a secret between her and
the magical garden remained a secret between her and the
magical garden remained a secret between her and the fox
garden remained a secret between her and the fox a
remained a secret between her and the fox a symbol
a secret between her and the fox a symbol of
secret between her and the fox a symbol of their
between her and the fox a symbol of their unbreakable
her and the fox a symbol of their unbreakable bond
and the fox a symbol of their unbreakable bond and
the fox a symbol of their unbreakable bond and so
fox a symbol of their unbreakable bond and so life
a symbol of their unbreakable bond and so life in
symbol of their unbreakable bond and so life in the
of their unbreakable bond and so life in the village
their unbreakable bond and so life in the village thrived
unbreakable bond and so life in the village thrived all
bond and so life in the village thrived all thanks
and so life in the village thrived all thanks to
so life in the village thrived all thanks to a
life in the village thrived all thanks to a young
in the village thrived all thanks to a young girl
the village thrived all thanks to a young girl who
village thrived all thanks to a young girl who could
thrived all thanks to a young girl who could talk
all thanks to a young girl who could talk to
thanks to a young girl who could talk to animals
to a young girl who could talk to animals and
a young girl who could talk to animals and a
young girl who could talk to animals and a magical
girl who could talk to animals and a magical garden
who could talk to animals and a magical garden that
could talk to animals and a magical garden that granted
talk to animals and a magical garden that granted her
to animals and a magical garden that granted her a
animals and a magical garden that granted her a wish
and a magical garden that granted her a wish elsa
a magical garden that granted her a wish elsa always
magical garden that granted her a wish elsa always remembered
garden that granted her a wish elsa always remembered the
that granted her a wish elsa always remembered the lesson
granted her a wish elsa always remembered the lesson of
her a wish elsa always remembered the lesson of the
a wish elsa always remembered the lesson of the magical
wish elsa always remembered the lesson of the magical flowers
elsa always remembered the lesson of the magical flowers not
always remembered the lesson of the magical flowers not to
remembered the lesson of the magical flowers not to wish
the lesson of the magical flowers not to wish for
lesson of the magical flowers not to wish for ones
of the magical flowers not to wish for ones own
the magical flowers not to wish for ones own gain
magical flowers not to wish for ones own gain but
flowers not to wish for ones own gain but for
not to wish for ones own gain but for the
to wish for ones own gain but for the good
wish for ones own gain but for the good of
for ones own gain but for the good of others
ones own gain but for the good of others and
own gain but for the good of others and this
gain but for the good of others and this made
but for the good of others and this made all
for the good of others and this made all the
the good of others and this made all the difference
good of others and this made all the difference in
of others and this made all the difference in her
others and this made all the difference in her world
and this made all the difference in her world the
this made all the difference in her world the end

